STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
       5619;19220201;19220228;    5;   -999;   151.0;-999;-999;eor
       5619;19220301;19220331;    5;   -999;   102.0;-999;-999;eor
       5619;19220401;19220430;    5;   -999;   147.0;-999;-999;eor
       5619;19220501;19220531;    5;   -999;    95.0;-999;-999;eor
       5619;19220601;19220630;    5;   -999;    85.0;-999;-999;eor
       5619;19220701;19220731;    5;   -999;   139.0;-999;-999;eor
       5619;19220801;19220831;    5;   -999;   118.0;-999;-999;eor
       5619;19220901;19220930;    5;   -999;   110.0;-999;-999;eor
       5619;19221001;19221031;    5;   -999;    64.0;-999;-999;eor
       5619;19221101;19221130;    5;   -999;   150.0;-999;-999;eor
       5619;19221201;19221231;    5;   -999;   185.0;-999;-999;eor
       5619;19230101;19230131;    5;   -999;   155.0;-999;-999;eor
       5619;19230201;19230228;    5;   -999;   155.0;-999;-999;eor
       5619;19230301;19230331;    5;   -999;    78.0;-999;-999;eor
       5619;19230401;19230430;    5;   -999;    36.0;-999;-999;eor
       5619;19230501;19230531;    5;   -999;   205.0;-999;-999;eor
       5619;19230601;19230630;    5;   -999;    94.0;-999;-999;eor
       5619;19230701;19230731;    5;   -999;    64.0;-999;-999;eor
       5619;19230801;19230831;    5;   -999;   106.0;-999;-999;eor
       5619;19230901;19230930;    5;   -999;    96.0;-999;-999;eor
       5619;19231001;19231031;    5;   -999;   233.0;-999;-999;eor
       5619;19231101;19231130;    5;   -999;   103.0;-999;-999;eor
       5619;19231201;19231231;    5;   -999;   128.0;-999;-999;eor
       5619;19240101;19240131;    5;   -999;    72.0;-999;-999;eor
       5619;19240201;19240229;    5;   -999;    65.0;-999;-999;eor
       5619;19240301;19240331;    5;   -999;    54.0;-999;-999;eor
       5619;19240401;19240430;    5;   -999;   117.0;-999;-999;eor
       5619;19240501;19240531;    5;   -999;   164.0;-999;-999;eor
       5619;19240601;19240630;    5;   -999;    27.0;-999;-999;eor
       5619;19240701;19240731;    5;   -999;   191.0;-999;-999;eor
       5619;19240801;19240831;    5;   -999;   234.0;-999;-999;eor
       5619;19240901;19240930;    5;   -999;   153.0;-999;-999;eor
       5619;19241001;19241031;    5;   -999;    70.0;-999;-999;eor
       5619;19241101;19241130;    5;   -999;    82.0;-999;-999;eor
       5619;19241201;19241231;    5;   -999;    75.0;-999;-999;eor
       5619;19250101;19250131;    5;   -999;   244.0;-999;-999;eor
       5619;19250201;19250228;    5;   -999;   106.0;-999;-999;eor
       5619;19250301;19250331;    5;   -999;    90.0;-999;-999;eor
       5619;19250401;19250430;    5;   -999;    68.0;-999;-999;eor
       5619;19250501;19250531;    5;   -999;   109.0;-999;-999;eor
       5619;19250601;19250630;    5;   -999;    73.0;-999;-999;eor
       5619;19250701;19250731;    5;   -999;    90.0;-999;-999;eor
       5619;19250801;19250831;    5;   -999;   121.0;-999;-999;eor
       5619;19250901;19250930;    5;   -999;   211.0;-999;-999;eor
       5619;19251001;19251031;    5;   -999;   106.0;-999;-999;eor
       5619;19251101;19251130;    5;   -999;    92.0;-999;-999;eor
       5619;19251201;19251231;    5;   -999;   296.0;-999;-999;eor
       5619;19260101;19260131;    5;   -999;   158.0;-999;-999;eor
       5619;19260201;19260228;    5;   -999;   165.0;-999;-999;eor
       5619;19260301;19260331;    5;   -999;   105.0;-999;-999;eor
       5619;19260401;19260430;    5;   -999;    52.0;-999;-999;eor
       5619;19260501;19260531;    5;   -999;   128.0;-999;-999;eor
       5619;19260601;19260630;    5;   -999;   120.0;-999;-999;eor
       5619;19260701;19260731;    5;   -999;   260.0;-999;-999;eor
       5619;19260801;19260831;    5;   -999;    89.0;-999;-999;eor
       5619;19260901;19260930;    5;   -999;    65.0;-999;-999;eor
       5619;19261001;19261031;    5;   -999;   260.0;-999;-999;eor
       5619;19261101;19261130;    5;   -999;   127.0;-999;-999;eor
       5619;19261201;19261231;    5;   -999;   142.0;-999;-999;eor
       5619;19270101;19270131;    5;   -999;   101.0;-999;-999;eor
       5619;19270201;19270228;    5;   -999;    86.0;-999;-999;eor
       5619;19270301;19270331;    5;   -999;   115.0;-999;-999;eor
       5619;19270401;19270430;    5;   -999;   141.0;-999;-999;eor
       5619;19270501;19270531;    5;   -999;    47.0;-999;-999;eor
       5619;19270601;19270630;    5;   -999;   137.0;-999;-999;eor
       5619;19270701;19270731;    5;   -999;   137.0;-999;-999;eor
       5619;19270801;19270831;    5;   -999;   231.0;-999;-999;eor
       5619;19270901;19270930;    5;   -999;   140.0;-999;-999;eor
       5619;19271001;19271031;    5;   -999;    50.0;-999;-999;eor
       5619;19271101;19271130;    5;   -999;   100.0;-999;-999;eor
       5619;19271201;19271231;    5;   -999;    75.0;-999;-999;eor
       5619;19280101;19280131;    5;   -999;   150.0;-999;-999;eor
       5619;19280201;19280229;    5;   -999;   130.0;-999;-999;eor
       5619;19280301;19280331;    5;   -999;    12.0;-999;-999;eor
       5619;19280401;19280430;    5;   -999;    97.0;-999;-999;eor
       5619;19280501;19280531;    5;   -999;    43.0;-999;-999;eor
       5619;19280601;19280630;    5;   -999;   111.0;-999;-999;eor
       5619;19280701;19280731;    5;   -999;    54.0;-999;-999;eor
       5619;19280801;19280831;    5;   -999;    93.0;-999;-999;eor
       5619;19280901;19280930;    5;   -999;    20.0;-999;-999;eor
       5619;19281001;19281031;    5;   -999;   125.0;-999;-999;eor
       5619;19281101;19281130;    5;   -999;   230.0;-999;-999;eor
